StartField		0 -1 1
BasicField		1 0 1
BasicField		2 0 1
BasicField		3 0 1
QuestionField	4 -1 11
BasicField		5 0 2
BasicField		6 0 2
BasicField		7 0 2
PortalField		8 -1 13
PolyanaField	9 -1 15
BasicField		10 0 3
BasicField		11 0 3
BasicField		12 0 3
QuestionField	13 -1 11
SelectiveField	14 0 10
BasicField		15 0 4
BasicField		16 0 4
BasicField		17 0 4
VadimField		18 -1 16
SelectiveField	19 0 10
BasicField		20 0 5
BasicField		21 0 5
BasicField		22 0 5
BasicField		23 0 5
PortalField		24 -1 13
BasicField		25 0 6
BasicField		26 0 6
BasicField		27 0 6
BasicField		f28 0 6
QuestionField	29 -1 11
BasicField		30 0 7
BasicField		31 0 7
BasicField		32 0 7
BasicField		33 0 8
BasicField		34 0 8
BasicField		35 0 8
PortalField		36 -1 13
SelectiveField	37 0 10
GiftField		38 -1 12
QuestionField	39 -1 11
BasicField		40 0 9
BasicField		41 0 9
BasicField		42 0 9
